name,detail_role,pvp,invasion,crash,crash2_rim,crash2_shady,frontier,art_main,art_main_note,art_alt1,art_alt1_note,art_alt2,art_alt2_note
가비아,"전체 보호막, 가성비, 서포터",C,B,C,C,C,C,,,,,,
그윈,"전체 기절, 동상 필수,광역 디버퍼",C,C,C,B,C,C,,,,,,
네르,"탱포터, 전체 공격력 버프, 무적, 애착 아티팩트 필수",C,C,B,C,B,A,,,,,,
네르(빡침),"평타 딜러, 딜포터, 피해 흡수, 공속덱, 활발 성격 강화",A,B,B,B,S,A,,,,,,
네티,"전체 보호막, 서브 탱커",B,A,A,A,A,A,,,,,,
다야(퓨어샤인),"중열 보호, 버퍼,",B,C,C,B,C,C,,,,,,
델리아,"딜러, 뛰어난 생존력",C,C,C,B,C,C,,,,,,
디아나(왕년),"평타 딜러, 공속덱, 광역 딜러",A,B,S,B,S,S,,,,,,
로네(시장),"평타 딜러, 물리 데미지 버퍼, 광역 딜러",C,C,C,B,B,C,,,,,,
롤렛,"고학년 대기시간 감소, 딜포터, 상태이상",A,C,B,C,B,B,,,,,,
리뉴아,"전체 공격속도 버퍼, 딜포터, 보호막 파괴,공속덱",B,B,A,A,A,S,,,,,,
리코타,"고학년 대기시간 감소, 체력 비례 피해,탱포터",C,B,A,B,A,A,,,,,,
림,"피흡,딜탱,광역 딜러",C,C,C,B,B,C,,,,,,
림(혼돈),"퓨어 딜러, 공속 딜러, 후열 저격",C,B,C,C,B,C,,,,,,
마요(멋짐),스킬 딜러,C,C,C,C,B,C,,,,,,
모모,"분신,딜포터,유틸 특화,고개 돌리기",C,A,S,A,S,S,,,,,,
뮤트,"장기전 특화, 딜포터, SP 회복,",C,C,A,C,S,S,,,,,,
바롱,"광역 디버프, 디버퍼, 어사이드 필수, 진영 붕괴",B,C,C,C,C,C,,,,,,
벨라,"탱포터, 전체 피해량 버프, 도발, 메인탱",A,S,S,S,S,S,,,,,,
블랑셰,"광역 딜러, 스킬 딜러, 쓰라림",C,B,C,B,B,C,,,,,,
비비,"보호막, 피해량 감소, SP 감소, 메인탱",B,A,A,A,S,A,,,,,,
셰이디(역전),"서포터, 침묵",C,B,C,B,B,C,,,,,,
슈로,"광역 피해 감소, 서브 딜러",B,A,B,A,B,B,,,,,,
슈팡,"광역 기절, 개전, 힐러, 어사이드 필수",A,B,C,B,B,B,,,,,,
스노키,"전체 보호막, 개전, 서브탱커, 어사이드 필수",S,S,B,S,A,C,,,,,,
시온 더 다크불릿,"퓨어 딜러, 공속 딜러, 후열 저격",B,B,B,B,B,B,,,,,,
시저,"광역 디버퍼, 서포터, 개전 디버프, 어사이드 필수",S,A,C,B,C,C,,,,,,
아네트,"공격속도 버퍼, 공격력 버퍼, 공속덱",C,C,A,C,A,A,,,,,,
아라그니아,"힐러, HP 증가, 받는 피해량 감소",S,S,A,S,A,B,,,,,,
아사나,"메인탱커, SP 감소, 고학년 쿨다운 증가, 스킬 데미지 버퍼",A,A,A,S,A,B,,,,,,
아야,"광역 기절, 동상, 스킬 딜러, 광역 딜러, 냉정 사도 버퍼, 냉정덱 필수",A,A,B,S,A,B,,,,,,
아이시아,"광역 딜러, 광역 기절, 마법 피해 버퍼",C,B,B,A,A,C,,,,,,
아일라,"전체 보호막, 최대 HP 증가, 피해량 감소, 개전, 화상, 서포터",A,S,A,S,S,S,,,,,,
에르핀(왕도),"퓨어 딜러,광역 딜러,필수 사도, 순수 성격 추가",SS,SS,SS,SS,SS,SS,,,,,,
에피카,"평타 딜러, 어사이드 필수",C,C,B,B,B,C,,,,,,
오르,"광역 받피감, 서포터, SP 회복, 적 딜러 방해",B,C,C,B,C,C,,,,,,
요미,"광역 받는 피해량 감소, 적 피해량 감소, SP 회복, 평타 딜러",B,B,C,A,A,B,,,,,,
우로스,"광역 공격력 버퍼, 받는 피해량 증가, 같은 성격 사도 강화, 성격 선택 가능",A,B,S,B,SS,S,,,,,,
우이,"광역 회복, 광역 SP 회복, 활발 성격 추가, 힐러",B,B,A,A,A,A,,,,,,
이드,"개전, 무적, 전체 보호막, 사망에 이르는 피해 무효",B,S,C,S,B,C,,,,,,
잉클,"평타 딜러, 광역 딜러, 눈가림, 공속덱, 기절",B,A,A,A,S,A,,,,,,
제이드,"아티팩트 필수, 어사이드 필수, 광역 딜러, 스킬 딜러",C,B,A,B,A,A,,,,,,
죠안,"피해 분산, 전체 기절, 공속덱, 서포터,배치열 자유",B,C,B,B,B,A,,,,,,
클로에,"넉백, 딜탱, 평타 딜러",B,B,B,B,B,C,,,,,,
키디언,"스킬 딜러, 아티팩트 필수, 퓨어 딜러",C,C,B,C,A,B,,,,,,
티그(영웅),"스킬&평타 딜러, 배치열 자유, 공속덱, 광기 성격 강화,기절",A,A,A,A,S,A,,,,,,
포셔,"광역 변이, 기절, 어사이드 필수, 디버퍼, 줘팸터용",A,B,C,C,C,C,,,,,,
폴랑,"서포터, 전체 기절, 최대 HP 증가, 스킬 피해량 버프",A,A,C,A,B,A,,,,,,
레비(졸업),"스킬덱, 탱포터, 줘팸터용, 메인탱",S,B,C,B,B,C,,,,,,
실비아,"고학년 쿨다운 감소, 받는 피해량 감소, SP 회복, 스킬덱, 메인탱",A,S,SS,SS,SS,SS,,,,,,
이드(재활),"스킬 피해량 증가, 적 SP 감소, 메인탱",B,B,C,B,C,C,,,,,,
