chip_key,chip_label,chip_icon,chip_color,chip_tip
sprout,새싹 선택권,새싹 교주용 선택권,,"새싹 선택권에서 확정 획득 가능"
eldyne_d4,엘다인 선택권,모집권_영원살이 일곱자매 모집권,,4일차 엘다인 선택권에서 확정 획득 가능
dream_echo,몽환의 메아리,몽환의 메아리 선택권,,3주년 출석 이벤트 보상으로 확정 획득 가능
anniv3,최애 모집,3주년 선택 모집,,3주년 최애 선택 모집에서 선택 가능
adventure_club,모험회,모험회,,내실 콘텐츠 '모험회' 추천픽
invasion,침략,침략,,전투 콘텐츠 '침략' 추천픽
crash,차원 대충돌,차원 대충돌,,보스 콘텐츠 '차원 대충돌' 추천픽
crash2_rim,림면세계,차원 대충돌_림,,보스 콘텐츠 '차원 대충돌 2.0' 추천픽
crash2_shady,2.0 셰이디,차원 대충돌_셰이디,,보스 콘텐츠 '차원 대충돌 2.0' 추천픽
frontier,프론티어,엘리아스 프론티어,,보스 콘텐츠 '엘리아스 프론티어' 추천픽
pvp,줘팸터,줘팸터,,PvP 콘텐츠 '줘팸터' 추천픽
baepo,3주년 배포,해금,,3주년 출석 이벤트로 배포되는 사도
clone,클론 팩토리,클론 팩토리,#BCAD1C,26년 9월 클론 팩토리 파밍 가능 사도
