group_key,group_label,group_icon,group_tip,sec_key,sec_label,sec_tip,sec_icon,sec_chip
reroll,리세마라,리세마라,"리세마라에서 가져가기 좋은 주요 엘다인과 일반 사도들을 추천합니다. 9월 24일에 3주년 엘다인 사도 1명이 실장, 26일에 나머지 엘다인 사도가 실장되기 때문에 26일 이후 평가를 보고 리세하는 편이 추천됩니다.",reroll_tank,탱커,적의 공격을 받아내고 아군에게 버프를 부여하는 역할군입니다.,role/탱커,
reroll,리세마라,리세마라,"리세마라에서 가져가기 좋은 주요 엘다인과 일반 사도들을 추천합니다. 9월 24일에 3주년 엘다인 사도 1명이 실장, 26일에 나머지 엘다인 사도가 실장되기 때문에 26일 이후 평가를 보고 리세하는 편이 추천됩니다.",reroll_support,서포터,"아군을 강화하고 보호막, 회복 등으로 파티의 안정성을 책임지는 역할군입니다.
",role/서포터,
reroll,리세마라,리세마라,"리세마라에서 가져가기 좋은 주요 엘다인과 일반 사도들을 추천합니다. 9월 24일에 3주년 엘다인 사도 1명이 실장, 26일에 나머지 엘다인 사도가 실장되기 때문에 26일 이후 평가를 보고 리세하는 편이 추천됩니다.",reroll_dealer,딜러,"적에게 피해를 입히는데 특화된 역할군입니다. ",role/딜러,
newbie,뉴비 선택 가이드,새싹,확정으로 얻는 선택권에서 나올 수 있는 사도들과 추천 우선 순위를 정리하였습니다.,sprout,새싹 교주용 사도 선택권,"1,100원으로 계정 당 1개 한정으로 판매되는 선택권입니다. 다음 5명의 비엘다인 사도 중 1명을 선택할 수 있습니다.",새싹 교주용 선택권,sprout
newbie,뉴비 선택 가이드,새싹,확정으로 얻는 선택권에서 나올 수 있는 사도들과 추천 우선 순위를 정리하였습니다.,eldyne_d4,4일차 엘다인 선택권,접속 4일차 퀘스트 보상으로 지급되는 영원살이 선택권입니다. 다음 5명의 영원살이 사도 중 1명을 선택할 수 있습니다.,모집권_영원살이 일곱자매 모집권,eldyne_d4
newbie,뉴비 선택 가이드,새싹,확정으로 얻는 선택권에서 나올 수 있는 사도들과 추천 우선 순위를 정리하였습니다.,dream_echo,몽환의 메아리 선택권,3주년 출석 이벤트 7일차 보상으로 지급되는 엘다인 선택권입니다. 다음 5명의 몽환살이 + 영원의 메아리 사도 중 1명을 선택할 수 있습니다.,몽환의 메아리 선택권,dream_echo
newbie,뉴비 선택 가이드,새싹,확정으로 얻는 선택권에서 나올 수 있는 사도들과 추천 우선 순위를 정리하였습니다.,anniv3_eldyne,3주년 최애 사도 선택 모집 (엘다인),엘다인 사도 1명 + 일반 사도 3명을 직접 선택하는 특수 픽업입니다. 이 탭은 최애 사도 모집에서 선택 가능한 엘다인 사도와 추천픽을 설명합니다.,3주년 선택 모집,anniv3
newbie,뉴비 선택 가이드,새싹,확정으로 얻는 선택권에서 나올 수 있는 사도들과 추천 우선 순위를 정리하였습니다.,anniv3_normal,3주년 최애 사도 선택 모집 (일반 사도),엘다인 사도 1명 + 일반 사도 3명을 직접 선택하는 특수 픽업입니다. 이 탭은 최애 사도 모집에서 선택 가능한 비엘다인 사도 중 추천픽만 설명합니다.,3주년 선택 모집,anniv3
content,콘텐츠별 추천 사도,아이콘_편성,주요 콘텐츠 별 사용하기 좋은 사도들을 추천합니다.,adventure_club,모험회,'아르바이트'를 통해 내실 콘텐츠 '연구'에 필요한 재화를 벌어오는 콘텐츠입니다. 사도별로 모험회 특성이 다르며 빠른 성장을 위해 단계별로 필요한 사도를 육성해야합니다.,모험회,adventure_club
content,콘텐츠별 추천 사도,아이콘_편성,주요 콘텐츠 별 사용하기 좋은 사도들을 추천합니다.,invasion,침략,"적 웨이브를 돌파하며 주요 스펙업 수단인 '장비'를 파밍하는 초반 주요 콘텐츠입니다. 돌파 의존도가 낮고  다수전, 단기전에 특화된 사도들이 추천됩니다.",침략,invasion
content,콘텐츠별 추천 사도,아이콘_편성,주요 콘텐츠 별 사용하기 좋은 사도들을 추천합니다.,crash,차원 대충돌,,차원 대충돌,crash
content,콘텐츠별 추천 사도,아이콘_편성,주요 콘텐츠 별 사용하기 좋은 사도들을 추천합니다.,crash2_rim,차원 대충돌 2.0 - 림의 이면세계,,차원 대충돌_림,crash2_rim
content,콘텐츠별 추천 사도,아이콘_편성,주요 콘텐츠 별 사용하기 좋은 사도들을 추천합니다.,crash2_shady,차원 대충돌 2.0 - 셰이디의 차원,,차원 대충돌_셰이디,crash2_shady
content,콘텐츠별 추천 사도,아이콘_편성,주요 콘텐츠 별 사용하기 좋은 사도들을 추천합니다.,frontier,엘리아스 프론티어,,엘리아스 프론티어,frontier
content,콘텐츠별 추천 사도,아이콘_편성,주요 콘텐츠 별 사용하기 좋은 사도들을 추천합니다.,pvp,줘팸터,,줘팸터,pvp
