name,detail_role,pvp,invasion,crash,crash2_rim,crash2_shady,frontier,art_main,art_main_note,art_alt1,art_alt1_note,art_alt2,art_alt2_note
가비아,,,,C,,,C,,,,,,
그윈,,,,C,,,C,,,,,,
네르,,,,A,,,B,,,,,,
네르(빡침),,,,A,,,A,,,,,,
네티,,,,A,,,A,,,,,,
다야(퓨어샤인),,,,C,,,C,,,,,,
델리아,,,,C,,,C,,,,,,
디아나(왕년),,,,C,,,A,,,,,,
로네(시장),,,,C,,,C,,,,,,
롤렛,,,,B,,,A,,,,,,
리뉴아,,,,A,,,A,,,,,,
리코타,,,,A,,,S,,,,,,
마요(멋짐),,,,C,,,C,,,,,,
모모,,,,C,,,A,,,,,,
뮤트,,,,A,,,S,,,,,,
바롱,,,,C,,,C,,,,,,
벨라,,,,S,,,S,,,,,,
비비,,,,A,,,A,,,,,,
셰이디(역전),,,,C,,,C,,,,,,
슈로,,,,B,,,B,,,,,,
슈팡,,,,C,,,C,,,,,,
스노키,,,,B,,,C,,,,,,
시저,,,,C,,,C,,,,,,
아네트,,,,A,,,B,,,,,,
아라그니아,,,,B,,,B,,,,,,
아사나,,,,C,,,C,,,,,,
아야,,,,C,,,B,,,,,,
아이시아,,,,C,,,C,,,,,,
아일라,,,,A,,,S,,,,,,
에르핀(왕도),,,,SS,,,SS,,,,,,
오르,,,,B,,,B,,,,,,
요미,,,,C,,,A,,,,,,
우로스,,,,S,,,S,,,,,,
우이,,,,A,,,B,,,,,,
이드,,,,C,,,C,,,,,,
잉클,,,,C,,,B,,,,,,
제이드,,,,B,,,C,,,,,,
죠안,,,,B,,,B,,,,,,
클로에,,,,C,,,C,,,,,,
키디언,,,,C,,,C,,,,,,
티그(영웅),,,,S,,,C,,,,,,
포셔,,,,C,,,C,,,,,,
폴랑,,,,A,,,B,,,,,,
레비(졸업),,,,C,,,C,,,,,,
실비아,,,,S,,,A,,,,,,
이드(재활),,,,C,,,C,,,,,,
