item_name,scope,effect,tag
HP 젤리,단일,"아군 중 무작위 대상의 HP를, 대상의 최대 HP의 15%만큼 회복시킵니다.",회복
SP 젤리,단일,아군 중 무작위 대상의 SP를 20만큼 회복시킵니다.,SP 회복
근육 성장기,단일,아군 중 무작위 대상의 피해량을 7초간 30% 증가시킵니다.,피해량 증가
머리 보호대,단일,아군 중 무작위 대상의 받는 피해량을 7초간 30% 감소시킵니다.,받는 피해량 감소
과당 주사,단일,아군 중 무작위 대상의 공격 속도를 5초간 75% 증가시킵니다.,공격 속도 증가
날벼락,단일 적,"적 중 무작위 대상에게, 대상의 공격력의 300%에 해당하는 피해를 입힙니다.",
응원봉,파티,모든 아군의 피해량을 7초간 30% 증가시킵니다.,피해량 증가
폴랑 찐빵,파티,"모든 아군의 HP를, 최대 HP의 15%만큼 회복시키고,\n5초간 공격 속도 50%, 피해량 30% 증가시킵니다.","회복, 공격 속도 증가, 피해량 증가"
마법 도서 대백과,파티,"모든 아군의 SP를, 대상의 최대 SP의 15%만큼 회복시키고,\n5초간 기본 SP 회복량을 50% 증가시키며,\n5초간 고학년 재사용 대기시간을 30% 감소시킵니다.","SP 회복, SP 회복량 증가, 고학년 쿨타임 감소"
엘리아스 평화의 날 케이크,주변 적,남은 HP비율이 가장 낮은 아군에게 폭발이 발생하여 주변 적에게 300%의 피해를 입힙니다.,
