status_name,icon_file,type,description,tag
MVP,버프_MVP.webp,특수,5초 동안 입힌 피해량이 가장 높은 아군을 MVP로 선정한다. 선정된 아군의 공격 속도와 피해량을 증가시킨다,"공격 속도 증가,피해량 증가"
거대화,버프_거대화.webp,특수,"특별한 사료를 먹어 거대화한다. 거대화 시 체력을 회복하고, 지속 시간 동안 피해량과 공격 속도가 증가한다","회복,피해량 증가,공격 속도 증가"
고출력 보호막,버프_고출력 보호막.webp,특수,아멜리아의 보호막이 고출력 보호막으로 강화된다. 고출력 보호막이 유지되는 동안 공격 속도와 피해량이 증가한다,"공격 속도 증가,피해량 증가,보호막"
공격력 증가,버프_공격력 증가.webp,강화,기초 공격력 수치가 증가한다,공격력 증가
공격 속도 증가,버프_공격 속도 증가.webp,강화,공격 속도가 증가한다,공격 속도 증가
너무 건강해졌다!,버프_너무 건강해졌다!.webp,특수,아군을 거대화시키고 공격 속도를 증가시킨다,공격 속도 증가
눈속임,버프_눈속임.webp,특수,적의 타겟 대상이 되지 않는다. 아군이 없을 때는 발동하지 않는다,눈속임
대분화,버프_대분화.webp,특수,모든 아군의 공격 속도와 최대 체력을 증가시킨다.,"공격 속도 증가,최대 체력 증가"
마법 공격력 증가,버프_마법 공격력 증가.webp,강화,기초 마법 공격력 수치가 증가한다,마법 공격력 증가
마법 피해량 증가,버프_마법 피해량 증가.webp,강화,적에게 입히는 마법 피해량이 증가한다,마법 피해량 증가
마탄,버프_마탄.webp,특수,물리 공격력이 상승한다. 마탄은 최대 5개까지 획득할 수 있다.,물리 공격력 증가
무적,버프_무적.webp,특수,모든 피해 및 디버프에 면역이 된다,무적
물리 공격력 증가,버프_물리 공격력 증가.webp,강화,물리 기초 공격력 수치가 증가한다,물리 공격력 증가
물리 피해량 증가,버프_물리 피해량 증가.webp,강화,적에게 입히는 물리 피해량이 증가한다,물리 피해량 증가
받는 마법 피해량 감소,버프_받는 마법 피해량 감소.webp,강화,받는 마법 피해량이 감소한다,마법 피해량 감소
