사도,최대 SP,시작 SP,틱당 SP,타수당 SP
가비아,400,300,24,0
그윈,450,270,18,1
나이아,240,0,42,1
네르,510,255,34,1
네르(빡침),400,300,25,1
네티,300,150,25,1
다야,370,0,24,1
다야(퓨어샤인),300,0,25,1
델리아,400,200,25,1
디아나,400,160,40,1
디아나(왕년),400,100,25,1
라이카,510,390,30,1
란,390,210,30,1
레비,400,0,13,1
레비(졸업),400,0,25,1
레이지,400,0,20,1
레테,450,0,26,1
로네,370,0,18,1
로네(시장),400,200,40,1
롤렛,450,150,30,2
루드,510,300,20,1
루포,400,0,23,1
리뉴아,200,80,40,2
리스티,420,280,35,1
리온,350,0,35,1
리츠,260,0,20,1
리코타,400,300,25,1
림,380,180,24,1
림(혼돈),400,250,25,1
마고,400,0,22,1
마리,400,0,17,1
마에스트로 2호,400,360,20,1
마요,450,0,25,1
마요(멋짐),400,120,40,1
마카샤,400,200,20,1
메죵,400,0,20,1
멜루나,400,0,30,1
모모,450,225,26,1
뮤트,480,0,15,0
미로,400,200,25,1
밍스,350,0,18,1
바나,450,0,30,1
바롱,240,160,40,1
바리에,220,110,40,1
버터,370,0,20,1
베니,300,0,25,1
베니(베니),400,250,25,1
베루,400,0,21,1
벨라,300,100,25,1
벨리타,350,0,30,1
벨벳,400,0,26,1
블랑셰,330,0,30,1
비비,300,40,20,1
빅우드,360,80,21,1
사리,400,0,21,1
샤샤,400,0,25,1
셀리네,480,260,30,1
셰럼,350,175,25,1
셰이디,350,245,15,1
셰이디(역전),400,120,40,1
슈로,375,250,25,1
슈팡,300,0,24,1
스노키,360,210,30,1
스키아,400,200,25,1
스피키,370,0,37,1
스피키(메이드),400,200,25,1
시스트,300,0,25,1
시온 더 다크불릿,400,160,30,1
시저,400,250,25,1
실라,290,0,23,1
실비아,400,100,25,1
실피르,400,240,24,1
아네트,400,200,25,1
아라그니아,300,250,35,1
아르코,400,200,40,1
아멜리아,400,0,27,1
아멜리아(R41),300,200,30,1
아사나,400,350,25,1
아야,480,400,50,1
아이시아,350,175,25,1
아일라,350,250,25,1
알레트,400,0,18,1
앨리스,370,0,26,1
에르핀,400,0,20,1
에르핀(왕도),600,400,40,1
에슈르,350,200,14,1
에스피,400,200,24,1
에피카,450,100,20,0
엘레나,350,0,25,1
오르,400,320,40,1
오팔,360,90,30,2
요미,400,250,25,1
우로스,400,200,25,1
우이,420,180,36,1
유미미,400,0,20,1
이드,540,360,24,1
이드(재활),440,220,20,1
이프리트,350,0,20,1
잉클,360,180,30,1
제이드,450,0,23,1
죠안,480,200,40,1
쥬비,290,0,20,1
쵸피,290,0,15,1
카렌,350,0,28,1
칸나,510,0,20,2
칸타,400,200,40,2
캐시,400,150,20,1
캬롯,360,160,30,1
코미,510,0,18,1
코미(수영복),420,240,30,1
큐이,400,0,32,1
클로에,400,240,16,1
키디언,350,306,28,1
키샤,370,300,35,1
타이다,400,0,20,1
티그,590,0,14,0
티그(영웅),400,0,25,1
파트라,450,0,24,1
페스타,480,320,25,1
포셔,370,0,53,1
폴랑,420,0,35,1
프리클,400,0,36,0
피라,400,260,25,1
피코라,300,120,30,1
하이디,375,0,25,1
헤일리,400,340,30,2
헤일리(멀쩡),400,200,25,1
힐데,400,0,41,1
